Baseline,Gemma,Falcon,Llama,Qwen,Mistral,Granite
BertScoreF1,0.8487157449111487,0.8657881681979729,0.8572970578395269,0.8468472909263514,0.8624396732939189,0.8616113541891892
BleuScore,3.904091624455541,2.711750787289385,4.4546655839266895,4.692406909576013,5.005881787061149,4.938997246240855
Grammar,0.8006756756756757,0.2297297297297297,1.0439189189189189,7.418918918918919,1.152027027027027,0.6925675675675675
MiniLM,0.711812786366554,0.696219639650473,0.7301847628158784,0.7383097207304055,0.735987729566554,0.7052223343096622
MPNet,0.7845165983238513,0.7546855988043919,0.8012010741027027,0.7984815382386488,0.8022883995543919,0.7696463503921622
WordValidity,0.1921386322639526,0.1911574262765202,0.1780811508150337,0.1915538780265202,0.1688540024042229,0.1776822080445946
